[2025-01-14 00:27:50,466](main) Filepid(/run/user/1000/srv11.pid) exists, but the process is not started! Delete filepid
[2025-01-15 01:23:42,041](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A129 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6bf1f92d00>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-15 01:24:37,852](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A130 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6bf1fbc070>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-15 01:25:32,364](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A131 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6bf1f5d8b0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-15 01:26:49,733](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A132 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6bf1f70ee0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-15 01:28:35,132](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A133 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6bf1f78a30>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-15 01:29:15,820](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A134 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6bf1f5d3d0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-15 01:30:24,507](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A135 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6bf1f4ef40>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-15 01:35:00,850](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A136 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6bf1f92820>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-15 01:36:04,161](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A137 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6bf1f70f10>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-15 01:36:41,957](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A138 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6bf1f788b0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
